corruption_fraction	train_acc	test_acc	train_acc_true_labels
0.0	0.8861874938011169	0.8932999968528748	0.8861874938011169
10.0	0.8011875152587891	0.8877000212669373	0.8778749704360962
corruption_fraction	train_acc	test_acc	train_acc_true_labels
0.0	0.8822500109672546	0.8914999961853027	0.8822500109672546
10.0	0.7963125109672546	0.8828999996185303	0.8738124966621399
20.0	0.71114581823349	0.8755999803543091	0.8634791374206543
30.000000000000004	0.6287291646003723	0.863099992275238	0.8530416488647461
40.0	0.5489374995231628	0.8590999841690063	0.8482916951179504
50.0	0.4507291615009308	0.8187999725341797	0.8029583096504211
60.00000000000001	0.37833333015441895	0.8112000226974487	0.7983333468437195
70.0	0.3020625114440918	0.7824000120162964	0.773312509059906
80.0	0.23114582896232605	0.758400022983551	0.7488541603088379
90.0	0.16227082908153534	0.7045000195503235	0.6944791674613953
